"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "Markdown", "PostCSS", "Prisma", "comment", "blank", "total"
"/home/abel/Discord_clone/components/providers/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"/home/abel/Discord_clone/components/server/server-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 7, 113
"/home/abel/Discord_clone/components/server/server-search.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 48
"/home/abel/Discord_clone/components/server/server-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 11, 133
"/home/abel/Discord_clone/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"/home/abel/Discord_clone/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"/home/abel/Discord_clone/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 18, 154
"/home/abel/Discord_clone/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 14, 123
"/home/abel/Discord_clone/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 19, 201
"/home/abel/Discord_clone/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 26, 179
"/home/abel/Discord_clone/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/home/abel/Discord_clone/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"/home/abel/Discord_clone/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"/home/abel/Discord_clone/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 15, 161
"/home/abel/Discord_clone/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/home/abel/Discord_clone/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 8, 31
"/home/abel/Discord_clone/components/user-avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/abel/Discord_clone/lib/current-profile.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/abel/Discord_clone/lib/db.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/abel/Discord_clone/lib/hooks/use-modal-store.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/abel/Discord_clone/lib/hooks/use-origin.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"/home/abel/Discord_clone/lib/initial-profile.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"/home/abel/Discord_clone/lib/uploadthing.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/abel/Discord_clone/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/abel/Discord_clone/middleware.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"/home/abel/Discord_clone/next.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"/home/abel/Discord_clone/package-lock.json", "JSON", 0, 0, 0, 8532, 0, 0, 0, 0, 0, 0, 1, 8533
"/home/abel/Discord_clone/package.json", "JSON", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 56
"/home/abel/Discord_clone/postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/abel/Discord_clone/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 68, 4, 22, 94
"/home/abel/Discord_clone/public/next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/abel/Discord_clone/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/abel/Discord_clone/tailwind.config.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 2, 2, 65
"/home/abel/Discord_clone/tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/home/abel/Discord_clone/types/types.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"Total", "-", 459, 82, 30, 8608, 2616, 2, 64, 266, 68, 47, 549, 12791
